country,year,forest_area,loss,biomass
India,2001,22.7,110000,105.2
India,2002,22.8,115000,105.4
India,2003,22.8,120000,105.6
India,2004,22.9,112000,105.8
India,2005,23.0,125000,106.1
India,2006,23.1,130000,106.3
India,2007,23.2,135000,106.5
India,2008,23.3,140000,106.7
India,2009,23.4,145000,107.0
India,2010,23.5,150000,107.2
India,2011,23.6,155000,107.5
India,2012,23.7,160000,107.7
India,2013,23.8,165000,108.0
India,2014,23.9,170000,108.2
India,2015,24.0,175000,108.5
India,2016,24.1,180000,108.7
India,2017,24.2,185000,109.0
India,2018,24.3,190000,109.2
India,2019,24.4,195000,109.5
India,2020,24.5,200000,109.7
India,2021,24.6,205000,110.0
India,2022,24.6,210000,110.2
